,RCHRG_DT,Subscriber_ID,RCHRG_DNM_TYP_VAL,FRST_RCHRG_TME,LST_RCHRG_TME,RCHRG_PP_CRD_CHNL,MIN_RCHRG_AMT,MAX_RCHRG_AMT,TOTAL_RCHRG_AMT,ACTL_RCHRG_AMT,TOTAL_NMBR_OF_RCHRG_CNT,UNIT_OF_MSR
36,12-Jan-19,808,50,3:34:13,3:34:13,PHYSICAL,50,50,50,50,1,SAR
37,19-Jan-19,753,20,9:42:56,9:42:56,PHYSICAL,20,20,20,20,1,SAR
38,12-Feb-19,579,15,19:56:25,19:56:25,PHYSICAL,15.24,15.24,15.24,15,1,SAR
39,1-Jan-19,289,0,23:39:16,23:39:16,PHYSICAL,5,5,5,0,1,SAR
40,12-Jan-19,951,15,15:50:13,15:50:13,PHYSICAL,15.24,15.24,15.24,15,1,SAR
41,24-Mar-19,566,20,17:34:03,17:34:03,PHYSICAL,20,20,20,20,1,SAR
42,8-Jan-19,26,15,10:58:28,10:58:28,PHYSICAL,15.24,15.24,15.24,15,1,SAR
43,30-Mar-19,628,15,18:23:03,18:23:03,PHYSICAL,15.24,15.24,15.24,15,1,SAR
44,1-Jan-19,378,15,1:07:52,1:07:52,PHYSICAL,15.24,15.24,15.24,15,1,SAR
45,10-Jan-19,684,50,11:13:42,11:13:42,PHYSICAL,50,50,50,50,1,SAR
46,4-Jan-19,146,25,21:15:12,21:15:12,ELECTRONIC,25,25,25,25,1,SAR
47,24-Feb-19,240,20,18:53:51,18:53:51,PHYSICAL,20,20,20,20,1,SAR
48,23-Jan-19,209,15,18:22:51,18:22:51,PHYSICAL,15.24,15.24,15.24,15,1,SAR
49,15-Jan-19,684,20,14:40:21,14:40:50,PHYSICAL,20,20,40,40,2,SAR
50,24-Jan-19,360,50,8:37:36,8:37:36,PHYSICAL,50,50,50,50,1,SAR
51,3-Jan-19,725,50,16:22:34,16:22:34,PHYSICAL,50,50,50,50,1,SAR
52,1-Jan-19,944,15,19:01:47,19:01:47,PHYSICAL,15.24,15.24,15.24,15,1,SAR
53,11-Jan-19,497,15,23:01:23,23:01:23,PHYSICAL,15.24,15.24,15.24,15,1,SAR
54,10-Feb-19,984,20,9:55:07,9:55:07,PHYSICAL,20,20,20,20,1,SAR
55,28-Feb-19,442,15,20:05:36,20:05:36,PHYSICAL,15.24,15.24,15.24,15,1,SAR
56,1-Feb-19,180,50,1:52:30,1:52:30,PHYSICAL,50,50,50,50,1,SAR
57,2-Jan-19,760,20,11:43:46,11:43:46,PHYSICAL,20,20,20,20,1,SAR
58,11-Jan-19,500,30,12:18:55,12:18:55,PHYSICAL,30,30,30,30,1,SAR
59,4-Feb-19,363,20,12:32:24,12:32:24,PHYSICAL,20,20,20,20,1,SAR
60,21-Feb-19,222,10,12:50:45,13:31:34,PHYSICAL,10,10,20,20,2,SAR
61,16-Jan-19,810,15,11:44:25,11:44:25,PHYSICAL,15.24,15.24,15.24,15,1,SAR
62,20-Jan-19,409,15,7:44:45,7:44:45,PHYSICAL,15.24,15.24,15.24,15,1,SAR
63,16-Mar-19,765,15,23:09:19,23:09:19,PHYSICAL,15.24,15.24,15.24,15,1,SAR
64,3-Feb-19,628,0,20:37:34,20:37:34,PHYSICAL,7,7,7,0,1,SAR
65,12-Feb-19,712,15,17:21:02,17:21:02,PHYSICAL,15.24,15.24,15.24,15,1,SAR
66,6-Jan-19,409,15,1:11:16,1:11:16,PHYSICAL,15.24,15.24,15.24,15,1,SAR
67,2-Feb-19,524,20,9:39:30,9:39:30,PHYSICAL,20,20,20,20,1,SAR
68,5-Jan-19,464,20,18:38:59,18:38:59,PHYSICAL,20,20,20,20,1,SAR
69,10-Jan-19,433,15,21:02:15,21:02:15,PHYSICAL,15.24,15.24,15.24,15,1,SAR
70,4-Jan-19,109,15,18:53:27,18:53:27,PHYSICAL,15.24,15.24,15.24,15,1,SAR
71,12-Jan-19,734,20,9:48:02,9:48:02,PHYSICAL,20,20,20,20,1,SAR
72,31-Jan-19,771,15,6:26:51,6:26:51,PHYSICAL,15.24,15.24,15.24,15,1,SAR
73,10-Jan-19,772,15,0:29:07,0:29:07,PHYSICAL,15.24,15.24,15.24,15,1,SAR
74,16-Jan-19,566,15,18:31:44,18:31:44,PHYSICAL,15.24,15.24,15.24,15,1,SAR
75,5-Jan-19,803,20,6:57:10,6:58:28,PHYSICAL,20,20,40,40,2,SAR
76,23-Jan-19,623,15,7:35:30,7:35:30,PHYSICAL,15.24,15.24,15.24,15,1,SAR
77,8-Jan-19,753,15,2:08:24,20:40:30,PHYSICAL,15.24,15.24,30.48,30,2,SAR
78,26-Jan-19,765,20,22:54:59,22:54:59,PHYSICAL,20,20,20,20,1,SAR
79,13-Jan-19,516,20,0:45:27,0:45:27,PHYSICAL,20,20,20,20,1,SAR
80,2-Feb-19,579,15,18:24:53,18:24:53,PHYSICAL,15.24,15.24,15.24,15,1,SAR
81,1-Jan-19,703,0,3:31:01,3:31:01,PHYSICAL,0,0,0,0,1,SAR
82,21-Jan-19,808,200,9:19:29,9:19:29,PHYSICAL,200,200,200,200,1,SAR
83,14-Jan-19,387,20,16:05:40,16:05:40,PHYSICAL,20,20,20,20,1,SAR
84,21-Jan-19,810,15,15:57:39,15:57:39,PHYSICAL,15.24,15.24,15.24,15,1,SAR
85,6-Jan-19,937,50,21:52:12,21:52:12,PHYSICAL,50,50,50,50,1,SAR
86,21-Jan-19,124,15,11:54:06,11:54:06,PHYSICAL,15.24,15.24,15.24,15,1,SAR
87,4-Jan-19,245,15,20:54:35,20:54:35,PHYSICAL,15,15,15,15,1,SAR
88,7-Jan-19,142,50,1:30:14,1:30:14,PHYSICAL,50,50,50,50,1,SAR
89,25-Feb-19,196,50,22:12:56,22:12:56,PHYSICAL,50,50,50,50,1,SAR
90,6-Feb-19,273,20,14:04:59,14:04:59,PHYSICAL,20,20,20,20,1,SAR
91,9-Feb-19,609,15,10:51:10,10:51:10,PHYSICAL,15.24,15.24,15.24,15,1,SAR
92,4-Jan-19,468,50,17:28:50,17:28:50,PHYSICAL,50,50,50,50,1,SAR
93,3-Jan-19,875,20,15:57:33,15:57:33,PHYSICAL,20,20,20,20,1,SAR
94,10-Jan-19,724,20,22:07:32,22:07:32,PHYSICAL,20,20,20,20,1,SAR
95,11-Feb-19,404,15,22:28:05,22:30:20,PHYSICAL,15.24,15.24,30.48,30,2,SAR
96,5-Jan-19,549,15,22:17:16,22:17:16,PHYSICAL,15.24,15.24,15.24,15,1,SAR
97,2-Feb-19,339,15,16:51:17,16:51:17,PHYSICAL,15.24,15.24,15.24,15,1,SAR
98,17-Jan-19,711,0,19:28:38,19:28:38,PHYSICAL,0,0,0,0,1,SAR
99,21-Feb-19,258,15,0:51:56,0:51:56,PHYSICAL,15.24,15.24,15.24,15,1,SAR
100,24-Feb-19,696,100,18:23:14,18:23:14,PHYSICAL,100,100,100,100,1,SAR
101,10-Jan-19,557,15,23:19:52,23:19:52,PHYSICAL,15,15,15,15,1,SAR
102,29-Jan-19,463,0,11:10:39,11:10:39,PHYSICAL,5.5,5.5,5.5,0,1,SAR
103,28-Jan-19,524,50,21:10:19,21:10:19,PHYSICAL,50,50,50,50,1,SAR
104,8-Jan-19,951,15,15:38:55,15:38:55,PHYSICAL,15.24,15.24,15.24,15,1,SAR
105,7-Jan-19,200,0,11:43:52,11:43:52,PHYSICAL,3.25,3.25,3.25,0,1,SAR
106,12-Jan-19,125,15,21:06:09,21:06:09,PHYSICAL,15,15,15,15,1,SAR
107,30-Jan-19,534,15,16:31:04,16:32:24,PHYSICAL,15.24,15.24,45.72,45,3,SAR
108,7-Jan-19,591,20,10:45:51,10:45:51,PHYSICAL,20,20,20,20,1,SAR
109,6-Jan-19,906,20,20:14:27,20:14:27,PHYSICAL,20,20,20,20,1,SAR
110,5-Jan-19,733,50,1:21:33,1:21:33,PHYSICAL,50,50,50,50,1,SAR
111,8-Jan-19,984,20,15:13:21,15:13:21,PHYSICAL,20,20,20,20,1,SAR
112,9-Jan-19,524,25,20:54:30,20:54:30,ELECTRONIC,25,25,25,25,1,SAR
113,8-Jan-19,129,20,17:49:05,17:49:05,PHYSICAL,20,20,20,20,1,SAR
114,6-Jan-19,614,15,14:59:36,14:59:36,PHYSICAL,15.24,15.24,15.24,15,1,SAR
115,1-Jan-19,499,100,15:01:30,15:01:30,PHYSICAL,100,100,100,100,1,SAR
116,25-Feb-19,122,20,7:53:09,7:53:09,PHYSICAL,20,20,20,20,1,SAR
117,27-Jan-19,882,30,12:23:06,12:23:06,PHYSICAL,30,30,30,30,1,SAR
118,11-Jan-19,641,15,1:38:36,1:38:36,PHYSICAL,15.24,15.24,15.24,15,1,SAR
119,2-Jan-19,984,20,12:44:36,22:28:08,PHYSICAL,20,20,40,40,2,SAR
120,11-Jan-19,621,100,18:35:31,18:35:31,PHYSICAL,100,100,100,100,1,SAR
121,27-Jan-19,403,20,19:23:31,19:23:31,PHYSICAL,20,20,20,20,1,SAR
122,9-Feb-19,697,25,11:33:57,11:33:57,ELECTRONIC,25,25,25,25,1,SAR
123,6-Jan-19,5,15,21:47:29,21:47:29,PHYSICAL,15,15,15,15,1,SAR
124,2-Feb-19,574,100,17:59:43,17:59:43,PHYSICAL,100,100,100,100,1,SAR
125,19-Jan-19,712,50,22:09:53,22:09:53,PHYSICAL,50,50,50,50,1,SAR
126,3-Jan-19,968,20,19:32:59,19:32:59,PHYSICAL,20,20,20,20,1,SAR
127,12-Feb-19,843,15,6:13:51,6:13:51,PHYSICAL,15,15,15,15,1,SAR
128,17-Jan-19,866,20,17:19:37,17:19:37,PHYSICAL,20,20,20,20,1,SAR
129,7-Feb-19,572,16,23:49:37,23:49:37,PHYSICAL,19.5,19.5,19.5,16,1,SAR
130,13-Jan-19,684,15,12:15:09,12:15:09,PHYSICAL,15,15,15,15,1,SAR
131,10-Feb-19,708,20,21:39:10,21:39:10,PHYSICAL,20,20,20,20,1,SAR
132,5-Jan-19,642,15,18:10:49,18:10:49,PHYSICAL,15.24,15.24,15.24,15,1,SAR
133,22-Jan-19,628,0,18:31:58,18:31:58,PHYSICAL,6,6,6,0,1,SAR
134,7-Feb-19,497,20,6:23:48,6:23:48,PHYSICAL,20,20,20,20,1,SAR
135,20-Feb-19,968,15,13:20:46,13:20:46,PHYSICAL,15.24,15.24,15.24,15,1,SAR
136,8-Jan-19,768,20,18:35:12,18:35:12,PHYSICAL,20,20,20,20,1,SAR
137,21-Mar-19,519,100,23:55:40,23:55:40,PHYSICAL,100,100,100,100,1,SAR
138,17-Jan-19,951,15,13:35:17,13:35:17,PHYSICAL,15.24,15.24,15.24,15,1,SAR
139,15-Jan-19,464,0,3:30:37,3:30:37,PHYSICAL,0,0,0,0,1,SAR
140,10-Jan-19,855,15,7:39:22,7:39:22,PHYSICAL,15.24,15.24,15.24,15,1,SAR
141,4-Jan-19,363,20,13:54:30,13:54:30,PHYSICAL,20,20,20,20,1,SAR
142,9-Jan-19,407,15,23:41:56,23:41:56,PHYSICAL,15.24,15.24,15.24,15,1,SAR
143,12-Feb-19,473,0,12:04:36,12:04:36,PHYSICAL,7,7,7,0,1,SAR
144,26-Jan-19,984,20,17:51:39,17:51:39,PHYSICAL,20,20,20,20,1,SAR
145,4-Jan-19,971,15,12:51:52,12:51:52,PHYSICAL,15.24,15.24,15.24,15,1,SAR
146,1-Feb-19,566,15,17:02:30,17:02:30,PHYSICAL,15.24,15.24,15.24,15,1,SAR
147,7-Jan-19,208,20,11:53:26,11:53:26,PHYSICAL,20,20,20,20,1,SAR
148,27-Jan-19,696,50,7:36:14,7:36:14,PHYSICAL,50,50,50,50,1,SAR
149,29-Jan-19,134,15,10:42:25,10:42:25,PHYSICAL,15.24,15.24,15.24,15,1,SAR
150,27-Jan-19,579,15,10:34:03,10:35:00,PHYSICAL,15.24,15.24,30.48,30,2,SAR
151,2-Jan-19,352,0,19:58:06,19:58:06,PHYSICAL,5.5,5.5,5.5,0,1,SAR
152,19-Feb-19,172,20,13:03:47,13:03:47,PHYSICAL,20,20,20,20,1,SAR
153,4-Jan-19,753,15,23:16:09,23:16:09,PHYSICAL,15.24,15.24,15.24,15,1,SAR
154,2-Jan-19,967,15,19:07:21,19:07:21,PHYSICAL,15.24,15.24,15.24,15,1,SAR
155,17-Jan-19,37,20,1:36:30,19:20:47,PHYSICAL,20,20,40,40,2,SAR
156,2-Jan-19,188,15,14:04:26,14:04:26,PHYSICAL,15.24,15.24,15.24,15,1,SAR
157,1-Jan-19,679,15,20:15:08,20:15:08,PHYSICAL,15.24,15.24,15.24,15,1,SAR
158,23-Jan-19,579,15,11:54:33,11:54:33,PHYSICAL,15.24,15.24,15.24,15,1,SAR
159,3-Jan-19,762,20,11:32:59,11:32:59,PHYSICAL,20,20,20,20,1,SAR
160,2-Feb-19,710,50,21:19:30,21:19:30,PHYSICAL,50,50,50,50,1,SAR
161,24-Jan-19,399,100,23:45:32,23:45:32,PHYSICAL,100,100,100,100,1,SAR
162,29-Jan-19,621,20,20:31:09,20:31:09,PHYSICAL,20,20,20,20,1,SAR
163,2-Feb-19,999,15,0:48:54,0:48:54,PHYSICAL,15.24,15.24,15.24,15,1,SAR
164,16-Jan-19,289,0,3:31:39,3:31:39,PHYSICAL,0,0,0,0,1,SAR
165,11-Jan-19,729,50,19:37:58,19:37:58,PHYSICAL,50,50,50,50,1,SAR
166,15-Jan-19,524,50,10:23:54,10:23:54,PHYSICAL,50,50,50,50,1,SAR
167,11-Jan-19,326,15,4:33:42,4:33:42,PHYSICAL,15.24,15.24,15.24,15,1,SAR
168,14-Jan-19,12,15,13:59:43,13:59:43,PHYSICAL,15.24,15.24,15.24,15,1,SAR
169,5-Jan-19,497,15,8:09:11,8:09:11,PHYSICAL,15.24,15.24,15.24,15,1,SAR
170,13-Jan-19,389,25,12:33:41,12:33:41,PHYSICAL,25,25,25,25,1,SAR
171,2-Jan-19,919,50,23:42:24,23:42:59,PHYSICAL,50,50,100,100,2,SAR
172,8-Jan-19,378,15,23:01:43,23:01:43,PHYSICAL,15.24,15.24,15.24,15,1,SAR
173,11-Mar-19,768,15,20:55:28,20:55:28,PHYSICAL,15.24,15.24,15.24,15,1,SAR
174,3-Jan-19,902,15,0:20:40,0:20:40,PHYSICAL,15.24,15.24,15.24,15,1,SAR
175,5-Jan-19,943,20,2:14:33,2:14:33,PHYSICAL,20,20,20,20,1,SAR
176,13-Jan-19,109,15,22:10:10,22:10:10,PHYSICAL,15.24,15.24,15.24,15,1,SAR
177,10-Jan-19,441,20,4:18:52,4:18:52,PHYSICAL,20,20,20,20,1,SAR
178,18-Jan-19,524,15,0:31:54,0:31:54,PHYSICAL,15.24,15.24,15.24,15,1,SAR
179,3-Jan-19,172,0,17:01:35,17:01:35,PHYSICAL,3.25,3.25,3.25,0,1,SAR
180,23-Feb-19,135,20,3:28:16,3:28:16,PHYSICAL,20,20,20,20,1,SAR
181,9-Jan-19,899,20,0:39:56,0:39:56,PHYSICAL,20,20,20,20,1,SAR
182,30-Jan-19,831,20,20:01:35,20:01:35,PHYSICAL,20,20,20,20,1,SAR
183,5-Jan-19,39,15,16:38:38,16:38:38,PHYSICAL,15.24,15.24,15.24,15,1,SAR
184,17-Jan-19,441,100,5:52:37,5:52:37,PHYSICAL,100,100,100,100,1,SAR
185,5-Feb-19,810,15,7:56:33,7:56:33,PHYSICAL,15.24,15.24,15.24,15,1,SAR
186,1-Jan-19,920,15,13:19:40,13:19:40,PHYSICAL,15.24,15.24,15.24,15,1,SAR
187,6-Jan-19,586,20,16:58:05,16:58:05,PHYSICAL,20,20,20,20,1,SAR
188,17-Jan-19,753,15,16:43:04,17:24:07,PHYSICAL,15.24,15.24,30.48,30,2,SAR
189,18-Jan-19,69,15,18:39:02,18:39:02,PHYSICAL,15.24,15.24,15.24,15,1,SAR
190,8-Jan-19,56,20,19:40:27,19:40:27,PHYSICAL,20,20,20,20,1,SAR
191,3-Jan-19,586,15,12:13:18,12:13:18,PHYSICAL,15.24,15.24,15.24,15,1,SAR
192,1-Jan-19,316,15,18:00:05,18:00:05,PHYSICAL,15.24,15.24,15.24,15,1,SAR
193,9-Jan-19,684,25,2:39:12,2:39:12,PHYSICAL,25,25,25,25,1,SAR
194,9-Jan-19,810,20,22:36:16,22:36:16,PHYSICAL,20,20,20,20,1,SAR
195,4-Feb-19,641,0,1:49:25,1:49:25,PHYSICAL,0,0,0,0,1,SAR
196,6-Jan-19,154,20,15:17:39,15:17:39,PHYSICAL,20,20,20,20,1,SAR
197,4-Feb-19,289,0,20:15:05,20:15:05,PHYSICAL,5,5,5,0,1,SAR
198,30-Jan-19,63,0,23:40:51,23:40:51,PHYSICAL,0,0,0,0,1,SAR
199,7-Feb-19,440,15,11:17:11,11:17:11,PHYSICAL,15.24,15.24,15.24,15,1,SAR
200,13-Jan-19,843,0,20:03:26,20:03:26,PHYSICAL,5,5,5,0,1,SAR
201,16-Jan-19,209,0,13:32:46,13:32:46,PHYSICAL,3.25,3.25,3.25,0,1,SAR
202,1-Jan-19,569,0,11:19:12,11:19:12,PHYSICAL,0,0,0,0,1,SAR
203,17-Jan-19,535,15,19:46:52,19:46:52,PHYSICAL,15.24,15.24,15.24,15,1,SAR
204,21-Jan-19,375,15,17:33:41,17:34:47,PHYSICAL,15.24,15.24,30.48,30,2,SAR
205,2-Jan-19,721,15,20:53:04,20:53:04,PHYSICAL,15.24,15.24,15.24,15,1,SAR
206,4-Feb-19,133,100,14:34:29,14:34:29,PHYSICAL,100,100,100,100,1,SAR
207,1-Jan-19,246,20,2:28:28,2:30:15,PHYSICAL,20,20,60,60,3,SAR
208,3-Jan-19,195,-99999,16:53:54,16:53:54,PHYSICAL,-15.5,-15.5,-15.5,,1,SAR
209,20-Jan-19,524,20,13:20:37,13:20:37,PHYSICAL,20,20,20,20,1,SAR
210,23-Feb-19,768,20,15:57:27,15:57:27,PHYSICAL,20,20,20,20,1,SAR
211,20-Feb-19,372,15,13:29:36,13:29:36,PHYSICAL,15.24,15.24,15.24,15,1,SAR
212,23-Feb-19,902,15,13:41:10,13:41:10,PHYSICAL,15.24,15.24,15.24,15,1,SAR
213,17-Jan-19,596,15,11:03:22,11:03:22,PHYSICAL,15.24,15.24,15.24,15,1,SAR
214,4-Jan-19,929,20,21:30:23,21:30:23,PHYSICAL,20,20,20,20,1,SAR
215,5-Jan-19,36,15,20:57:10,20:57:10,PHYSICAL,15.24,15.24,15.24,15,1,SAR
216,23-Jan-19,524,20,21:21:40,21:21:40,PHYSICAL,20,20,20,20,1,SAR
217,8-Feb-19,566,20,15:01:02,15:01:02,PHYSICAL,20,20,20,20,1,SAR
218,14-Jan-19,289,0,12:01:45,12:01:45,PHYSICAL,5,5,5,0,1,SAR
219,16-Jan-19,301,15,10:32:20,13:06:03,PHYSICAL,15.24,15.24,30.48,30,2,SAR
220,30-Jan-19,208,20,11:50:04,11:50:04,PHYSICAL,20,20,20,20,1,SAR
221,10-Jan-19,188,15,14:43:09,14:43:09,PHYSICAL,15.24,15.24,15.24,15,1,SAR
222,8-Feb-19,69,15,19:04:44,19:04:44,PHYSICAL,15.24,15.24,15.24,15,1,SAR
223,16-Jan-19,760,30,23:46:38,23:46:38,PHYSICAL,30,30,30,30,1,SAR
224,7-Jan-19,753,15,14:36:45,14:36:45,PHYSICAL,15.24,15.24,15.24,15,1,SAR
225,10-Jan-19,532,20,1:52:48,1:52:48,PHYSICAL,20,20,20,20,1,SAR
226,3-Jan-19,796,15,7:56:28,7:56:28,PHYSICAL,15,15,15,15,1,SAR
227,21-Feb-19,123,15,11:15:28,11:15:28,PHYSICAL,15.24,15.24,15.24,15,1,SAR
228,26-Jan-19,151,0,13:26:42,13:26:42,PHYSICAL,8,8,8,0,1,SAR
229,1-Jan-19,684,20,19:57:19,19:57:19,PHYSICAL,20,20,20,20,1,SAR
230,28-Jan-19,56,20,22:22:55,22:22:55,PHYSICAL,20,20,20,20,1,SAR
231,17-Jan-19,53,20,11:40:42,11:40:42,PHYSICAL,20,20,20,20,1,SAR
232,18-Feb-19,887,15,11:55:24,11:55:24,PHYSICAL,15.24,15.24,15.24,15,1,SAR
233,15-Mar-19,984,20,12:17:42,12:17:42,PHYSICAL,20,20,20,20,1,SAR
234,3-Jan-19,929,15,19:25:30,19:25:30,PHYSICAL,15.24,15.24,15.24,15,1,SAR
235,18-Jan-19,134,0,3:31:13,3:31:13,PHYSICAL,0,0,0,0,1,SAR
236,28-Jan-19,263,100,6:27:11,6:27:11,PHYSICAL,100,100,100,100,1,SAR
237,10-Jan-19,267,15,13:31:07,13:31:07,PHYSICAL,15.24,15.24,15.24,15,1,SAR
238,7-Jan-19,242,25,18:34:07,18:34:07,ELECTRONIC,25,25,25,25,1,SAR
239,8-Jan-19,641,15,0:19:26,0:19:26,PHYSICAL,15.24,15.24,15.24,15,1,SAR
240,2-Jan-19,168,20,0:15:13,0:15:13,PHYSICAL,20,20,20,20,1,SAR
241,24-Jan-19,526,50,15:47:51,15:47:51,PHYSICAL,50,50,50,50,1,SAR
242,3-Jan-19,254,20,11:39:11,11:39:11,PHYSICAL,20,20,20,20,1,SAR
243,21-Jan-19,715,20,9:37:36,9:37:36,PHYSICAL,20,20,20,20,1,SAR
244,10-Jan-19,758,20,16:24:35,16:24:35,PHYSICAL,20,20,20,20,1,SAR
245,13-Jan-19,646,15,13:59:23,13:59:23,PHYSICAL,15.24,15.24,15.24,15,1,SAR
246,3-Jan-19,38,15,18:04:03,18:04:03,PHYSICAL,15.24,15.24,15.24,15,1,SAR
247,3-Jan-19,943,20,21:07:26,21:07:26,PHYSICAL,20,20,20,20,1,SAR
248,3-Jan-19,951,15,15:24:41,15:24:41,PHYSICAL,15,15,15,15,1,SAR
249,5-Jan-19,535,20,9:58:32,9:58:32,PHYSICAL,20,20,20,20,1,SAR
250,28-Jan-19,758,20,11:15:35,11:15:35,PHYSICAL,20,20,20,20,1,SAR
251,2-Jan-19,951,15,11:55:49,11:55:49,PHYSICAL,15.24,15.24,15.24,15,1,SAR
252,27-Jan-19,60,20,17:49:25,17:49:25,PHYSICAL,20,20,20,20,1,SAR
253,16-Jan-19,951,50,23:37:17,23:37:17,PHYSICAL,50,50,50,50,1,SAR
254,1-Jan-19,902,15,21:21:49,21:21:49,PHYSICAL,15.24,15.24,15.24,15,1,SAR
255,27-Jan-19,906,20,20:53:15,20:53:15,PHYSICAL,20,20,20,20,1,SAR
256,9-Jan-19,140,0,22:53:04,22:53:04,PHYSICAL,3.25,3.25,3.25,0,1,SAR
257,14-Jan-19,307,15,18:25:43,18:25:43,PHYSICAL,15.24,15.24,15.24,15,1,SAR
258,27-Jan-19,120,0,18:53:35,18:53:35,PHYSICAL,0,0,0,0,1,SAR
259,4-Jan-19,53,15,18:08:18,18:08:18,PHYSICAL,15,15,15,15,1,SAR
260,3-Jan-19,959,100,21:01:31,21:01:31,PHYSICAL,100,100,100,100,1,SAR
261,11-Mar-19,433,0,12:00:22,12:00:22,PHYSICAL,0,0,0,0,1,SAR
262,10-Feb-19,179,20,19:47:10,19:47:10,PHYSICAL,20,20,20,20,1,SAR
263,27-Jan-19,753,20,20:49:52,20:49:52,PHYSICAL,20,20,20,20,1,SAR
264,10-Jan-19,282,20,13:42:43,13:42:43,PHYSICAL,20,20,20,20,1,SAR
265,25-Jan-19,775,15,16:27:32,16:27:32,PHYSICAL,15.24,15.24,15.24,15,1,SAR
266,8-Jan-19,689,15,6:40:59,6:40:59,PHYSICAL,15.24,15.24,15.24,15,1,SAR
267,22-Feb-19,360,15,16:58:03,16:58:03,PHYSICAL,15.24,15.24,15.24,15,1,SAR
268,3-Jan-19,672,25,13:11:22,13:11:22,ELECTRONIC,25,25,25,25,1,SAR
269,13-Jan-19,985,15,7:40:24,7:40:24,PHYSICAL,15.24,15.24,15.24,15,1,SAR
270,15-Jan-19,928,0,14:43:39,14:43:39,PHYSICAL,8,8,8,0,1,SAR
